indexx,position,start_time_in_video_in_sec,duration_in_video_in_sec,post_id,post_code,user_pk,user_pk_id,user_username,user_full_name,user_is_private,user_is_verified,user_profile_pic_id,user_profile_pic_url
22,"[0.6460169, 0.31772676]",,,3150211967646006352_60783972062,Cu3zRgSuXxQ,1426106462,1426106462,snapp_team,اسنپ! | !Snapp,0,0,2742387497509207495_1426106462,https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/271385182_1059048134886265_3038256664265502242_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=wcQLNqXDD_sAX_2JsEF&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfCXs2MwYNmoRcIIxjhW1JAmhF1Q3m8-kiiDmbFACZGJfg&oe=64C31BC0&_nc_sid=472314
23,"[0.30531359999999996, 0.40933618]",,,3150211967646006352_60783972062,Cu3zRgSuXxQ,1434739621,1434739621,digikalacom,Digikala | دیجی‌کالا,0,1,2625580468732646857_1434739621,https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/222193994_382626643294129_3977620425327232193_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=PlA_aNhGEPQAX8KCNnX&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfCx2FRc2yYYvD60fURCSIgxTxsrNj3cmbdjlgFox6yHDA&oe=64C2A8F1&_nc_sid=472314
24,"[0.6560868999999999, 0.7924300999999999]",,,3150211967646006352_60783972062,Cu3zRgSuXxQ,40808948937,40808948937,aparatcom.official,آپارات | Aparat,0,0,2645263999934145167_40808948937,https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/239967721_397244048398971_5892051053504230857_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=iusc1xqQbkoAX9Q7fZ0&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfCBl9eaWkmeMkNwV5SU3XYD_gCGInGeKxXMLk93bOYMNg&oe=64C176B8&_nc_sid=472314
25,"[0.5527777700000001, 0.75793654]",,,3150185778175294920_14746624910,Cu3tUZcoD3I,1426106462,1426106462,snapp_team,اسنپ! | !Snapp,0,0,2742387497509207495_1426106462,https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/271385182_1059048134886265_3038256664265502242_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=wcQLNqXDD_sAX_2JsEF&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfCXs2MwYNmoRcIIxjhW1JAmhF1Q3m8-kiiDmbFACZGJfg&oe=64C31BC0&_nc_sid=472314
26,"[0.5847222, 0.5297619]",,,3150185778175294920_14746624910,Cu3tUZcoD3I,3215027595,3215027595,tapsi_ir,TAPSI تپسی,0,0,2854514366352254783_3215027595,https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/286328730_597290042062029_2383298424100437954_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=109&_nc_ohc=Ab4BPeoqSuwAX_gCIhr&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfDvy7PgkykK7bKz6oYl409ou2groOJ8lSfFKRpki21Nog&oe=64C28216&_nc_sid=472314
27,"[0.68796295, 0.81203705]",,,3149790032281492432_53397574563,Cu2TViXNFvQ,10093642639,10093642639,drivers.snapp,باشگاه رانندگان اسنپ,0,0,2079115095425743614_10093642639,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/65028931_476309659612346_5913852031637913600_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=102&_nc_ohc=KgSAavYDevcAX-sH0qb&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfAMRWth6v5xS9pXYOHvAHnpIWk-isa-BPsZitAdk_Wpiw&oe=64C20813&_nc_sid=472314
28,"[0.9166667, 0.7453704]",,,3149790032281492432_53397574563,Cu2TViXNFvQ,10991395171,10991395171,tapsi.safiran,صفحه رسمی سفیران تپسی,0,0,2228389031376156061_10991395171,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/82816010_2199574757003930_5351184021344747520_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=102&_nc_ohc=AmBXszVkhOgAX9M_voY&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfAZizQ59leHiUbPFVhb-KHzgDuc39sfCt51h98-wEdbrg&oe=64C1E3DE&_nc_sid=472314
29,"[0.71666664, 0.64537036]",,,3149790032281492432_53397574563,Cu2TViXNFvQ,34652972336,34652972336,snapp.drive,کمپین اتحاد رانندگان اسنپ,0,0,2839608024976275088_34652972336,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/281367130_964097167608132_3066137692459358244_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=pqtoR4FhJMIAX-4wL9j&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfBfLyVpFquAtFjjbKdKW2ENreM9XnVSOSe2PG8O50brIg&oe=64C281BE&_nc_sid=472314
30,"[0.43425927000000003, 0.7777778]",,,3149790032281492432_53397574563,Cu2TViXNFvQ,45226630561,45226630561,benyamin_co.ir,بنیامین / عاردی / تیونینگ / benyamin,0,0,3072084743211241032_45226630561,https://scontent-fra3-2.cdninstagram.com/v/t51.2885-19/339288107_255974183440248_3838195928516585796_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_cat=1&_nc_ohc=ARToUnKQ_REAX_JKbLW&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfBhT2VGRLlVYvdPLGNmjcsy6EcWOGUncrAJBmexQXTLmA&oe=64C2E87B&_nc_sid=472314
31,"[0.3164251208, 0.3913043478]",,,3149517335286179306_56924069542,Cu1VVRfquXq,56924069542,56924069542,ata_tweet,psycho_tweet,0,0,3128805375486749953_56924069542,https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/355085859_2478861802273926_5328060752981188253_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=PK9xls-nLzoAX-jFVxL&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfCWMigoLKKpxfJMP5syX38N29eTQaBYJzBnrTXpY_iUbw&oe=64C34ADE&_nc_sid=472314
